Category,Term 1,Term 2,Term 3
Disturbi legati all'alimentazione e immagine corporea,Diete restrittive,perdere peso,chirurgia estetica
Challenge e attività pericolose,challenge pericolose, attività pericolose, tendenza 
Nudità ed esposizione corporea,nudità, esposizione corporea, biancheria intima
Contenuti sessualmente allusivi,baci intimi,sesso,prodotti per il sesso
Contenuti grafici e scioccanti, sangue, combattimenti, disastro naturale
gioco,gioco,casinò,scommesse 
Alcol e tabacco e droghe,droghe, tabacco, Alcol


