video_id,views,collects,diggs,comments,shares
7526946789207903510,2200000,6124,223200,889,16800
7526246537375190278,59000000,27600,1200000,6661,12300
7526202804948536598,61100000,252700,6200000,13600,1900000
7526943912662027542,3300000,9058,303300,3628,15000
7526670715777551638,3100000,4436,56700,1211,2276
7526510817370524950,11200000,16900,435400,4250,12100
7526615233520061718,3400000,3546,126600,2522,2075
7526536592266235158,15900000,72300,1800000,2150,35200
7526973477438459158,2200000,15000,296100,444,14300
7526558288289303831,27500000,187300,2900000,23600,1400000
7526590499357052182,1400000,1546,69500,386,300
7526122349804915990,19000000,30200,453300,6505,161600
7527328321701481750,1500000,9927,174400,857,8822
7526278304085675286,10500000,20500,511800,3555,4918
7526570064632483094,4200000,23500,231700,669,16800
7526610866733681942,1700000,7231,108000,767,9794
7526459933156478230,1200000,1525,69800,139,1534
7526663027203034390,1400000,4585,68300,294,10100
7526482541109529878,1400000,2500,73900,730,7487
7526803072446762248,36400000,42100,729300,4502,13700
7525768267659644182,1300000,3922,75100,170,447
7525851208477576470,2100000,16400,92500,370,16700
7525478091951492374,1500000,6367,245100,412,8511
7525124533863451926,83400000,519900,8000000,101200,1900000
7525989188794125590,1300000,8067,123500,1114,2799
7526172149518732566,17000000,55300,1100000,3987,29900
7526139773656829206,880200,1628,85100,108,1006
7525094003839307031,1100000,1851,75900,1248,5237
7525044513677708546,1300000,6959,140300,240,35200
7526212535687646486,1400000,1264,86800,133,2359
7526184605410495766,1400000,4040,122200,510,7066
7525844938588835094,1300000,3415,82000,9797,704
7525041874961403138,1200000,1816,35000,281,992
7526035089956949270,23000000,219400,3200000,17700,701300
7526169299715656983,1300000,10600,260700,841,5210
7526985216129387798,1700000,5605,100600,835,1558
7525892963512143126,4700000,31300,412400,2124,71000
7525019896711875862,7400000,49900,984700,2624,32100
7525218754989477142,1400000,3548,85400,1193,10300
7525770311413878038,1300000,820,35700,465,440
7525483661576113430,22600000,54500,1500000,3632,18300
7525478611101502742,924600,9702,166600,263,14900
7525445462866873622,929100,1378,30500,107,2106
7526472476227013910,997200,1018,26500,96,1358
7525995255351594271,47600000,297000,4900000,35200,1900000
7525045824103927062,1100000,832,5087,159,802
7525086385225698582,20600000,113700,1400000,7888,70000
7524390924558798082,16300000,75300,1200000,5469,34900
7524658182518476087,22000000,68700,1000000,2615,23700
7525051212329274646,1400000,4288,125200,627,969
7526544240734768406,1000000,3897,122700,2240,7347
7526169451306192150,1500000,3881,44400,1786,4121
7525439025319070998,17200000,52200,511300,6696,256700
7525507517217131798,1400000,4772,78700,205,9830
7525764595445763350,1000000,9508,130500,554,9402
7525778837150387478,2000000,12200,229300,592,2089
7525543183548173590,1500000,4062,119300,1157,1559
7525901699786083606,934600,3225,79900,246,25800
7524802365522742550,1700000,3416,82400,1107,5833
7526646582368865558,20800000,89800,710900,2860,96900
7520315599545732374,5500000,4334,111700,705,1147
7525521942389067030,1200000,8747,210800,879,12700
7525778068963691798,856900,2200,116700,38,464
7525126497594543382,1100000,8400,181700,443,8670
7526635921509190935,1100000,5438,152700,629,5124
7521336825093311766,5300000,4808,99500,169,1646
7526520256983076118,776400,1709,92000,123,3957
7525812011184295190,936500,3780,132500,314,653
7524716937830665494,1300000,5456,129300,373,1347
7525006109392882966,1100000,2424,108600,953,2864
7526478654096903447,1000000,2314,97600,294,5046
7525712193053134088,39300000,22800,529100,3014,31200
7526024193700367624,1200000,8559,98000,1300,7642
7525011363115109654,1500000,999,11700,255,362
7524735038009707790,28700000,156300,5200000,9498,178900
7525415224392862998,14400000,64400,592800,6074,176400
7527270262698478870,2800000,9937,214900,6787,7570
7526893312301649174,882800,820,29100,1248,492
7524005214353968406,4600000,4425,99200,786,10500
7526940516911516950,774100,2578,116300,734,6256
7525420534662728982,1400000,6161,128500,1196,1629
7525027529674083606,1500000,740,12600,0,2253
7525083766394457366,1200000,2529,122900,756,1798
7525836718683999510,1600000,11600,186100,918,13600
7525055459116551446,846900,11600,118400,1371,7470
7515849479421971734,907700,7909,87700,601,35000
7526656430498286850,1300000,14900,239000,1051,14500
7525842126828014854,1300000,30600,140200,710,21900
7527750860261297410,22500,76,1231,71,74
7523773532627668246,2000000,31500,272900,810,53000
7500518005277756679,2900000,21000,361500,494,2941
7526901436752497943,160200,2262,17900,273,591
7527361528673127702,383,2,25,0,0
7525518431819468065,192600,109,936,4,20
7512505666611727638,4500000,120100,1100000,4532,195000
7527005084807466253,6500000,79100,2000000,2803,194600
7524669065151991062,2400000,9704,177200,605,1789
7526204547392572674,547200,1782,37300,460,15500
7526517253626400022,1100000,6850,260200,584,9290
7525190854688935198,70300000,358000,9100000,39700,423400
7527637221105503510,4700000,33900,783200,5703,46800
7527691009958923542,4000000,28800,670900,2178,22600
7527285348062235926,2400000,26600,495600,1403,23900
7527646409038908694,1900000,5501,224300,261,1161
7527346847669603606,1600000,13700,299600,1119,15400
7526969601960201494,10900000,41600,828300,3398,20300
7526575559833406742,1400000,190,2761,8,51
7527299422841998614,1800000,4024,144200,579,11000
7527308310496808194,5400000,11200,331200,927,5854
7526917188314402050,42000000,192800,4100000,42300,2400000
7527647849748663574,2700000,11700,179800,2247,2981
7527392487661407511,1300000,3171,105900,138,1602
7527378888473758998,1700000,7748,152300,2511,1980
7526551528660864258,7600000,23700,461500,788,4910
7527346809719639318,19900,20,691,53,18
7527553424825519382,19,0,3,1,0
7516448474527698178,7414,12,245,29,32
7527278578023566614,483,2,59,5,0
7527373526936882454,2311,0,47,3,4
7526843229195570454,2337,4,123,3,2
7519829456404417815,5961,5,130,0,29
7527380308849626390,459,0,10,1,0
7524486639649934614,12400,15,295,27,18
7527559171454078230,558,0,62,9,1
7527398821979114774,11400,88,1433,84,33
7525418128784772374,71100,158,1377,37,353
7527416242123181334,15100,18,305,18,21
7526978795744644385,2100000,10200,212500,2619,49900
7527347946677964054,2700000,6046,151700,825,742
7527000433320021270,1500000,10300,195900,283,7497
7526676525752585494,1700000,1999,55100,1775,299
7527307336709344534,2500000,6082,132600,5085,1653
7527248004286270742,1500000,5229,129400,967,4931
7526533973892271382,1000000,1052,34000,204,1259
7526879307596074262,951800,4018,75800,677,1697
7526192185591516446,7100000,4473,79300,2618,15000
7527285463149743382,1300000,2512,131000,508,9207
7527346617104551190,1800000,5805,135900,2771,2330
7526545400707255574,881800,1092,53400,114,426
7526667986103553302,2200000,3414,108200,763,1319
7527302551788653846,2100000,6278,56800,2108,2205
7526935719412092182,3400000,2963,87600,284,993
7526940195850161430,1700000,1264,62900,767,1176
